timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1407076660513,0,-315,-6.92138671875E-5,70,41,45,25560,11420,3925,13530,11331,16745957,8060,4089,Tag7,unknown
1407076660613,0,49,1.07666015625E-5,70,41,45,25560,11420,3925,13530,11331,16745957,8060,4089,Tag7,unknown
1407076660713,0,93,2.04345703125E-5,70,41,45,25560,11420,3925,13530,11331,16745957,8060,4089,Tag7,unknown
1407076660830,0,6,1.318359375E-6,70,41,45,25560,11420,3925,13530,11331,16745957,8060,4089,Tag7,unknown
1407076660934,0,-342,-7.5146484375E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661050,0,54,1.1865234375000001E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661150,0,86,1.8896484375000003E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661252,0,-291,-6.39404296875E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661352,0,88,1.93359375E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661452,0,-93,-2.04345703125E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661552,0,120,2.63671875E-5,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661652,0,840,1.845703125E-4,54,34,41,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661765,0,-505,-1.109619140625E-4,54,34,74,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661866,0,-126,-2.7685546875E-5,54,34,74,736061,304158,32512,16750331,29595,24897,8480,6926,Tag7,unknown
1407076661966,0,316,6.943359375000001E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662067,0,112,2.4609375E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662167,0,61,1.34033203125E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662281,0,-104,-2.28515625E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662381,0,105,2.30712890625E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662482,0,38,8.349609375E-6,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662594,0,5,1.0986328125E-6,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662694,0,74,1.6259765625E-5,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662794,0,21,4.614257812500001E-6,43,30,74,1267619,221333,22965,83692,30904,16763355,9346,12771,Tag7,unknown
1407076662894,0,74,1.6259765625E-5,50,41,74,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663010,0,44,9.66796875E-6,50,41,74,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663111,0,42,9.228515625000002E-6,50,41,74,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663211,0,98,2.1533203125E-5,50,41,74,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663389,0,34,7.4707031250000005E-6,50,41,74,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663505,0,-457,-1.004150390625E-4,50,41,39,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663608,0,-9,-1.9775390625E-6,50,41,39,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663723,0,124,2.724609375E-5,50,41,39,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663823,0,42,9.228515625000002E-6,50,41,39,595385,51354,4244,18187,21730,14259,7247,3084,Tag7,unknown
1407076663923,0,-261,-5.73486328125E-5,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664023,0,35,7.6904296875E-6,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664123,0,29,6.3720703125E-6,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664255,0,18,3.955078125E-6,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664369,0,77,1.69189453125E-5,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664469,0,24,5.2734375E-6,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664569,0,-282,-6.1962890625E-5,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664669,0,83,1.82373046875E-5,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664778,0,-87,-1.91162109375E-5,20,34,39,857281,393102,16752574,20092,10629,17149,9872,5683,Tag7,unknown
1407076664898,0,93,2.04345703125E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076664998,0,101,2.2192382812500002E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665098,0,6,1.318359375E-6,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665199,0,-337,-7.40478515625E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665299,0,106,2.3291015625000003E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665399,0,84,1.8457031250000004E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665515,0,-330,-7.2509765625E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665631,0,253,5.55908203125E-5,29,37,39,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665747,0,-582,-1.27880859375E-4,29,37,76,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665847,0,-147,-3.22998046875E-5,29,37,76,328534,146954,16756912,7275,29112,16745483,16757923,9374,Tag7,unknown
1407076665947,0,118,2.5927734375E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666064,0,81,1.77978515625E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666164,0,305,6.70166015625E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666277,0,90,1.9775390625E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666377,0,64,1.40625E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666487,0,57,1.2524414062500001E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666589,0,1,2.197265625E-7,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666689,0,-76,-1.669921875E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666807,0,-310,-6.8115234375E-5,24,37,76,671061,32707,25450,26342,22641,12450,12528,4330,Tag7,unknown
1407076666923,0,113,2.48291015625E-5,23,48,76,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667026,0,99,2.1752929687500003E-5,23,48,76,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667134,0,-263,-5.7788085937500005E-5,23,48,76,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667246,0,56,1.23046875E-5,23,48,76,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667358,0,516,1.1337890625000001E-4,23,48,76,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667458,0,-343,-7.53662109375E-5,23,48,69,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667571,0,33,7.2509765625E-6,23,48,69,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667672,0,66,1.4501953125E-5,23,48,69,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667774,0,-257,-5.64697265625E-5,23,48,69,1235018,82775,31563,11682,7663,11200,3148,2779,Tag7,unknown
1407076667886,0,122,2.6806640625E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076667986,0,73,1.6040039062500002E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668086,0,-285,-6.26220703125E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668190,0,-119,-2.6147460937500004E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668301,0,-262,-5.7568359375E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668417,0,96,2.109375E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668517,0,102,2.2412109374999998E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668617,0,-317,-6.96533203125E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668717,0,67,1.4721679687500002E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668817,0,84,1.8457031250000004E-5,41,51,69,100757,45643,5862,29229,28454,16763638,27883,10353,Tag7,unknown
1407076668919,0,-111,-2.43896484375E-5,48,53,69,87854,16749860,11122,11104,18420,23267,10795,7429,Tag7,unknown
